                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6046,                 1.9035,                 1.0263,                0.32059,                0.24492,                0.22136,                0.12476,                 1.4351,                 1.1665,                0.93952,               0.003321,               0.003321,               0.003321
                      2,                 1.5212,                 1.2505,                 0.9656,                0.35095,                0.26653,                0.24161,                0.13506,                 1.4436,                 1.1514,                0.93308,              0.0066324,              0.0066324,              0.0066324
                      3,                 1.5654,                 1.2549,                0.96714,                0.33969,                0.27397,                0.25425,                0.14306,                 1.5003,                  1.168,                0.94319,              0.0099217,              0.0099217,              0.0099217
                      4,                 1.5482,                 1.1959,                0.96444,                0.36581,                0.28631,                0.27035,                0.15372,                 1.4352,                 1.1272,                 0.9314,               0.009901,               0.009901,               0.009901
                      5,                 1.5054,                 1.1611,                0.95456,                0.39177,                0.28592,                 0.2782,                0.15462,                 1.4493,                 1.1056,                0.92998,               0.009901,               0.009901,               0.009901
                      6,                 1.4852,                 1.1186,                0.94693,                0.39526,                0.29665,                0.28609,                0.16476,                 1.3927,                 1.0608,                0.92467,               0.009868,               0.009868,               0.009868
                      7,                 1.4559,                 1.1016,                0.94202,                0.39518,                0.30916,                0.29595,                0.16762,                 1.3867,                 1.0392,                0.92126,               0.009835,               0.009835,               0.009835
                      8,                 1.4464,                 1.0835,                0.93812,                0.42086,                0.31076,                0.31116,                 0.1805,                 1.3546,                 1.0258,                0.91422,               0.009802,               0.009802,               0.009802
                      9,                 1.4306,                 1.0618,                0.93577,                0.41718,                0.31304,                0.31446,                0.18272,                 1.3498,                 1.0256,                0.91591,               0.009769,               0.009769,               0.009769
                     10,                 1.4206,                 1.0438,                0.93239,                0.42233,                 0.3271,                0.31851,                0.18471,                 1.3447,                 1.0021,                0.91153,               0.009736,               0.009736,               0.009736
                     11,                 1.4106,                 1.0352,                0.92985,                0.43794,                0.32017,                0.32134,                  0.183,                 1.3418,                  1.007,                0.91238,               0.009703,               0.009703,               0.009703
                     12,                 1.3962,                 1.0212,                0.92575,                0.43229,                0.32707,                0.32419,                0.18857,                 1.3214,                0.98885,                0.90772,                0.00967,                0.00967,                0.00967
                     13,                 1.3869,                 1.0121,                0.92306,                 0.4563,                0.33624,                0.33276,                 0.1901,                 1.3186,                0.97589,                0.90675,               0.009637,               0.009637,               0.009637
                     14,                 1.3806,                 1.0076,                0.92198,                0.45992,                0.33761,                0.34124,                0.19975,                 1.3046,                0.96892,                0.90357,               0.009604,               0.009604,               0.009604
                     15,                 1.3753,                0.99068,                0.91859,                0.46084,                0.34325,                 0.3425,                0.20083,                 1.3078,                0.96007,                0.90668,               0.009571,               0.009571,               0.009571
                     16,                 1.3607,                0.98879,                0.91976,                0.45291,                0.34337,                 0.3474,                0.20339,                 1.2916,                0.95603,                0.90008,               0.009538,               0.009538,               0.009538
                     17,                 1.3653,                0.97696,                0.91893,                0.45393,                0.34389,                0.34579,                0.20113,                 1.3013,                0.95338,                  0.905,               0.009505,               0.009505,               0.009505
                     18,                 1.3547,                0.97161,                0.91592,                0.44721,                0.34618,                0.34411,                0.20178,                 1.2908,                0.95302,                0.90051,               0.009472,               0.009472,               0.009472
                     19,                 1.3498,                0.96725,                0.91574,                0.46459,                0.34734,                0.34766,                0.20416,                 1.2945,                 0.9473,                0.90065,               0.009439,               0.009439,               0.009439
                     20,                 1.3455,                   0.96,                0.91309,                0.46234,                0.34773,                0.35456,                0.20642,                 1.2975,                0.94773,                0.90346,               0.009406,               0.009406,               0.009406
                     21,                 1.3443,                0.95507,                 0.9116,                0.45164,                0.36235,                0.35794,                0.21149,                 1.2741,                0.93094,                0.89651,               0.009373,               0.009373,               0.009373
                     22,                 1.3348,                0.94404,                0.91173,                0.46504,                0.35221,                0.35348,                0.20705,                 1.2763,                0.93161,                0.89707,                0.00934,                0.00934,                0.00934
                     23,                  1.324,                0.93765,                0.91041,                0.46474,                0.35471,                 0.3556,                0.20808,                 1.2815,                0.93442,                0.89762,               0.009307,               0.009307,               0.009307
                     24,                 1.3355,                0.94471,                 0.9109,                0.45965,                0.36116,                0.35807,                0.21009,                 1.2781,                0.93472,                0.89777,               0.009274,               0.009274,               0.009274
                     25,                 1.3207,                0.92946,                0.90963,                0.46482,                 0.3581,                0.35913,                0.21124,                 1.2647,                0.92738,                0.89397,               0.009241,               0.009241,               0.009241
                     26,                 1.3128,                0.92779,                0.90745,                0.46496,                0.35638,                0.36136,                0.21068,                 1.2693,                0.92394,                 0.8947,               0.009208,               0.009208,               0.009208
                     27,                 1.3172,                0.91996,                0.90555,                0.47261,                0.36884,                0.36951,                0.21692,                 1.2604,                0.90617,                0.89369,               0.009175,               0.009175,               0.009175
